Company name,Job name,Company location,Score,Estimate salary,Average salary,Size,Founded,Type,Industry,Sector,Revenue
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
ManTech International Corporation,Data Science/Analytics - New Graduate,Remote,4.2,-1,-1,-1,-1,-1,-1,-1,-1
NBCUniversal,DreamWorks Technology - Data Analyst,"Glendale, CA",4.1,-1,-1,-1,-1,-1,-1,-1,-1
TARGET,Lead Data Analyst - FRS BI & Analytics,"Brooklyn Park, MN",3.7,-1,-1,-1,-1,-1,-1,-1,-1
J.Crew,Director Advanced Analytics and Data Science,"New York, NY",3.8,-1,-1,-1,-1,-1,-1,-1,-1
Providence,Data Scientist 1,"Renton, WA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
UCLA,Data Scientist,"Los Angeles, CA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
NVIDIA,Deep Learning Performance Analysis Engineer - New College Grad,"Santa Clara, CA",4.7,-1,-1,-1,-1,-1,-1,-1,-1
TikTok,Data Scientist - Tiktok Ads Integrity,"Mountain View, CA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
McDonald's Corporate,"Data Scientist, Performance Analytics - McD Tech Labs","Mountain View, CA",3.5,-1,-1,-1,-1,-1,-1,-1,-1
NVIDIA,Deep Learning Algorithm Engineer - New College Grad,"Santa Clara, CA",4.7,-1,-1,-1,-1,-1,-1,-1,-1
Nike,DATA ANALYTICS MGR I,"Boston, MA",4.1,-1,-1,-1,-1,-1,-1,-1,-1
University of Wisconsin–Madison,DATA SCIENTIST,"Madison, WI",4.8,-1,-1,-1,-1,-1,-1,-1,-1
Penn State University,Statistical Assistant,"University Park, PA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
CBRE,Data Scientist,"Richardson, TX",3.9,-1,-1,-1,-1,-1,-1,-1,-1
McDonald's Corporate,"Data Scientist, Triage - McD Tech Labs","Mountain View, CA",3.5,-1,-1,-1,-1,-1,-1,-1,-1
Optiver US,Graduate Data Scientist (2022 Start - Chicago),"Chicago, IL",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Modern Agile Technologies,Data Scientist,"Lewisville, TX",-1,$63 - $67 Per Hour(Employer est.),-1,-1,-1,-1,-1,-1,-1
TikTok,Data Scientist - Strategy & Analytics,"Los Angeles, CA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
Neiman Marcus,Data Scientist,"Dallas, TX",3.3,-1,-1,-1,-1,-1,-1,-1,-1
Environmental Risk Management Inc,Data Scientist,"Sunnyvale, CA",-1,$125K - $180K (Employer est.),-1,-1,-1,-1,-1,-1,-1
TikTok,Data Analytics Manager - Tiktok Ads,"Mountain View, CA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
"Agilent Technologies, Inc.",Statistician,"Carpinteria, CA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
"Infinity Consulting Solutions, Inc.","Data Scientist, Analytics - Remote","Chicago, IL",3.6,-1,-1,-1,-1,-1,-1,-1,-1
JD.com,Data Scientist - Econ,"Mountain View, CA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
Caterpillar,"Data Scientist I, Cat Digital","Chicago, IL",4.0,-1,-1,-1,-1,-1,-1,-1,-1
Toyota,"Analyst, Data Science","Plano, TX",3.9,-1,-1,-1,-1,-1,-1,-1,-1
Toyota,"Analyst, Data Science","Plano, TX",3.9,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
ManTech International Corporation,Data Science/Analytics - New Graduate,Remote,4.2,-1,-1,-1,-1,-1,-1,-1,-1
NBCUniversal,DreamWorks Technology - Data Analyst,"Glendale, CA",4.1,-1,-1,-1,-1,-1,-1,-1,-1
TARGET,Lead Data Analyst - FRS BI & Analytics,"Brooklyn Park, MN",3.7,-1,-1,-1,-1,-1,-1,-1,-1
J.Crew,Director Advanced Analytics and Data Science,"New York, NY",3.8,-1,-1,-1,-1,-1,-1,-1,-1
Providence,Data Scientist 1,"Renton, WA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
UCLA,Data Scientist,"Los Angeles, CA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
NVIDIA,Deep Learning Performance Analysis Engineer - New College Grad,"Santa Clara, CA",4.7,-1,-1,-1,-1,-1,-1,-1,-1
TikTok,Data Scientist - Tiktok Ads Integrity,"Mountain View, CA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
McDonald's Corporate,"Data Scientist, Performance Analytics - McD Tech Labs","Mountain View, CA",3.5,-1,-1,-1,-1,-1,-1,-1,-1
NVIDIA,Deep Learning Algorithm Engineer - New College Grad,"Santa Clara, CA",4.7,-1,-1,-1,-1,-1,-1,-1,-1
Nike,DATA ANALYTICS MGR I,"Boston, MA",4.1,-1,-1,-1,-1,-1,-1,-1,-1
University of Wisconsin–Madison,DATA SCIENTIST,"Madison, WI",4.8,-1,-1,-1,-1,-1,-1,-1,-1
Penn State University,Statistical Assistant,"University Park, PA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
CBRE,Data Scientist,"Richardson, TX",3.9,-1,-1,-1,-1,-1,-1,-1,-1
McDonald's Corporate,"Data Scientist, Triage - McD Tech Labs","Mountain View, CA",3.5,-1,-1,-1,-1,-1,-1,-1,-1
Optiver US,Graduate Data Scientist (2022 Start - Chicago),"Chicago, IL",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Modern Agile Technologies,Data Scientist,"Lewisville, TX",-1,$63 - $67 Per Hour(Employer est.),-1,-1,-1,-1,-1,-1,-1
TikTok,Data Scientist - Strategy & Analytics,"Los Angeles, CA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
Neiman Marcus,Data Scientist,"Dallas, TX",3.3,-1,-1,-1,-1,-1,-1,-1,-1
Environmental Risk Management Inc,Data Scientist,"Sunnyvale, CA",-1,$125K - $180K (Employer est.),-1,-1,-1,-1,-1,-1,-1
TikTok,Data Analytics Manager - Tiktok Ads,"Mountain View, CA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
"Agilent Technologies, Inc.",Statistician,"Carpinteria, CA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
"Infinity Consulting Solutions, Inc.","Data Scientist, Analytics - Remote","Chicago, IL",3.6,-1,-1,-1,-1,-1,-1,-1,-1
JD.com,Data Scientist - Econ,"Mountain View, CA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
Caterpillar,"Data Scientist I, Cat Digital","Chicago, IL",4.0,-1,-1,-1,-1,-1,-1,-1,-1
Toyota,"Analyst, Data Science","Plano, TX",3.9,-1,-1,-1,-1,-1,-1,-1,-1
Toyota,"Analyst, Data Science","Plano, TX",3.9,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
ManTech International Corporation,Data Science/Analytics - New Graduate,Remote,4.2,-1,-1,-1,-1,-1,-1,-1,-1
NBCUniversal,DreamWorks Technology - Data Analyst,"Glendale, CA",4.1,-1,-1,-1,-1,-1,-1,-1,-1
TARGET,Lead Data Analyst - FRS BI & Analytics,"Brooklyn Park, MN",3.7,-1,-1,-1,-1,-1,-1,-1,-1
J.Crew,Director Advanced Analytics and Data Science,"New York, NY",3.8,-1,-1,-1,-1,-1,-1,-1,-1
Providence,Data Scientist 1,"Renton, WA",3.7,-1,-1,-1,-1,-1,-1,-1,-1
UCLA,Data Scientist,"Los Angeles, CA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
NVIDIA,Deep Learning Performance Analysis Engineer - New College Grad,"Santa Clara, CA",4.7,-1,-1,-1,-1,-1,-1,-1,-1
